id_venta,fecha,cliente,producto,cantidad,importe,medio_pago
V-23079,2026-05-27,Hotel Plaza,Mouse inalambrico,20,21923.79,tarjeta
V-23080,2026-05-28,Comercial Andrade,Servicio de consultoria,1,22060.80,efectivo
V-23081,2026-05-01,Garcia SA,Toner HP,2,22197.81,transferencia
V-23082,2026-05-02,Juan Perez,Servicio mensual,3,22334.82,tarjeta
V-23083,2026-05-03,Marta Gomez,Cuaderno,4,22471.83,efectivo
V-23084,2026-05-04,Kiosco El Sol,Mouse inalambrico,5,22608.84,transferencia
V-23085,2026-05-05,Ferreteria Nuñez,Servicio de consultoria,6,22745.85,tarjeta
V-23086,2026-05-06,Estudio Contable RyR,Toner HP,7,22882.86,efectivo
V-23087,2026-05-07,Bar La Esquina,Servicio mensual,8,23019.87,transferencia
V-23088,2026-05-08,Distribuidora Sur,Cuaderno,9,23156.88,tarjeta
V-23089,2026-05-09,Panaderia Ortiz,Mouse inalambrico,10,23293.89,efectivo
V-23090,2026-05-10,Optica Vision,Servicio de consultoria,11,23430.90,transferencia
V-23091,2026-05-11,Tech Solutions,Toner HP,12,23567.91,tarjeta
V-23092,2026-05-12,Farmacia Central,Servicio mensual,13,23704.92,efectivo
V-23093,2026-05-13,Hotel Plaza,Cuaderno,14,23841.93,transferencia
V-23094,2026-05-14,Comercial Andrade,Mouse inalambrico,15,23978.94,tarjeta
V-23095,2026-05-15,Garcia SA,Servicio de consultoria,16,24115.95,efectivo
V-23096,2026-05-16,Juan Perez,Toner HP,17,24252.96,transferencia
V-23097,2026-05-17,Marta Gomez,Servicio mensual,18,24389.97,tarjeta
V-23098,2026-05-18,Kiosco El Sol,Cuaderno,19,24526.98,efectivo
V-23099,2026-05-19,Ferreteria Nuñez,Mouse inalambrico,20,24663.99,transferencia
V-23100,2026-05-20,Estudio Contable RyR,Servicio de consultoria,1,24800.00,tarjeta
V-23101,2026-05-21,Bar La Esquina,Toner HP,2,24937.01,efectivo
V-23102,2026-05-22,Distribuidora Sur,Servicio mensual,3,25074.02,transferencia
V-23103,2026-05-23,Panaderia Ortiz,Cuaderno,4,25211.03,tarjeta
V-23104,2026-05-24,Optica Vision,Mouse inalambrico,5,25348.04,efectivo
V-23105,2026-05-25,Tech Solutions,Servicio de consultoria,6,25485.05,transferencia
V-23106,2026-05-26,Farmacia Central,Toner HP,7,25622.06,tarjeta
V-23107,2026-05-27,Hotel Plaza,Servicio mensual,8,25759.07,efectivo
V-23108,2026-05-28,Comercial Andrade,Cuaderno,9,25896.08,transferencia
V-23109,2026-05-01,Garcia SA,Mouse inalambrico,10,26033.09,tarjeta
V-23110,2026-05-02,Juan Perez,Servicio de consultoria,11,26170.10,efectivo
V-23111,2026-05-03,Marta Gomez,Toner HP,12,26307.11,transferencia
V-23112,2026-05-04,Kiosco El Sol,Servicio mensual,13,26444.12,tarjeta
V-23113,2026-05-05,Ferreteria Nuñez,Cuaderno,14,26581.13,efectivo
V-23114,2026-05-06,Estudio Contable RyR,Mouse inalambrico,15,26718.14,transferencia
V-23115,2026-05-07,Bar La Esquina,Servicio de consultoria,16,26855.15,tarjeta
V-23116,2026-05-08,Distribuidora Sur,Toner HP,17,26992.16,efectivo
V-23117,2026-05-09,Panaderia Ortiz,Servicio mensual,18,27129.17,transferencia
V-23118,2026-05-10,Optica Vision,Cuaderno,19,27266.18,tarjeta
V-23119,2026-05-11,Tech Solutions,Mouse inalambrico,20,27403.19,efectivo
V-23120,2026-05-12,Farmacia Central,Servicio de consultoria,1,27540.20,transferencia
V-23121,2026-05-13,Hotel Plaza,Toner HP,2,27677.21,tarjeta
V-23122,2026-05-14,Comercial Andrade,Servicio mensual,3,27814.22,efectivo
V-23123,2026-05-15,Garcia SA,Cuaderno,4,27951.23,transferencia
V-23124,2026-05-16,Juan Perez,Mouse inalambrico,5,28088.24,tarjeta
V-23125,2026-05-17,Marta Gomez,Servicio de consultoria,6,28225.25,efectivo
V-23126,2026-05-18,Kiosco El Sol,Toner HP,7,28362.26,transferencia
V-23127,2026-05-19,Ferreteria Nuñez,Servicio mensual,8,28499.27,tarjeta
V-23128,2026-05-20,Estudio Contable RyR,Cuaderno,9,28636.28,efectivo
V-23129,2026-05-21,Bar La Esquina,Mouse inalambrico,10,28773.29,transferencia
V-23130,2026-05-22,Distribuidora Sur,Servicio de consultoria,11,28910.30,tarjeta
V-23131,2026-05-23,Panaderia Ortiz,Toner HP,12,29047.31,efectivo
V-23132,2026-05-24,Optica Vision,Servicio mensual,13,29184.32,transferencia
V-23133,2026-05-25,Tech Solutions,Cuaderno,14,29321.33,tarjeta
V-23134,2026-05-26,Farmacia Central,Mouse inalambrico,15,29458.34,efectivo
V-23135,2026-05-27,Hotel Plaza,Servicio de consultoria,16,29595.35,transferencia
V-23136,2026-05-28,Comercial Andrade,Toner HP,17,29732.36,tarjeta
V-23137,2026-05-01,Garcia SA,Servicio mensual,18,29869.37,efectivo
V-23138,2026-05-02,Juan Perez,Cuaderno,19,30006.38,transferencia
V-23139,2026-05-03,Marta Gomez,Mouse inalambrico,20,30143.39,tarjeta
V-23140,2026-05-04,Kiosco El Sol,Servicio de consultoria,1,30280.40,efectivo
V-23141,2026-05-05,Ferreteria Nuñez,Toner HP,2,30417.41,transferencia
V-23142,2026-05-06,Estudio Contable RyR,Servicio mensual,3,30554.42,tarjeta
V-23143,2026-05-07,Bar La Esquina,Cuaderno,4,30691.43,efectivo
V-23144,2026-05-08,Distribuidora Sur,Mouse inalambrico,5,30828.44,transferencia
V-23145,2026-05-09,Panaderia Ortiz,Servicio de consultoria,6,30965.45,tarjeta
V-23146,2026-05-10,Optica Vision,Toner HP,7,31102.46,efectivo
V-23147,2026-05-11,Tech Solutions,Servicio mensual,8,31239.47,transferencia
V-23148,2026-05-12,Farmacia Central,Cuaderno,9,31376.48,tarjeta
V-23149,2026-05-13,Hotel Plaza,Mouse inalambrico,10,31513.49,efectivo
V-23150,2026-05-14,Comercial Andrade,Servicio de consultoria,11,31650.50,transferencia
V-23151,2026-05-15,Garcia SA,Toner HP,12,31787.51,tarjeta
V-23152,2026-05-16,Juan Perez,Servicio mensual,13,31924.52,efectivo
V-23153,2026-05-17,Marta Gomez,Cuaderno,14,32061.53,transferencia
V-23154,2026-05-18,Kiosco El Sol,Mouse inalambrico,15,32198.54,tarjeta
V-23155,2026-05-19,Ferreteria Nuñez,Servicio de consultoria,16,32335.55,efectivo
V-23156,2026-05-20,Estudio Contable RyR,Toner HP,17,32472.56,transferencia
V-23157,2026-05-21,Bar La Esquina,Servicio mensual,18,32609.57,tarjeta
V-23158,2026-05-22,Distribuidora Sur,Cuaderno,19,32746.58,efectivo
V-23159,2026-05-23,Panaderia Ortiz,Mouse inalambrico,20,32883.59,transferencia
V-23160,2026-05-24,Optica Vision,Servicio de consultoria,1,33020.60,tarjeta
V-23161,2026-05-25,Tech Solutions,Toner HP,2,33157.61,efectivo
V-23162,2026-05-26,Farmacia Central,Servicio mensual,3,33294.62,transferencia
V-23163,2026-05-27,Hotel Plaza,Cuaderno,4,33431.63,tarjeta
V-23164,2026-05-28,Comercial Andrade,Mouse inalambrico,5,33568.64,efectivo
V-23165,2026-05-01,Garcia SA,Servicio de consultoria,6,33705.65,transferencia
V-23166,2026-05-02,Juan Perez,Toner HP,7,33842.66,tarjeta
V-23167,2026-05-03,Marta Gomez,Servicio mensual,8,33979.67,efectivo
V-23168,2026-05-04,Kiosco El Sol,Cuaderno,9,34116.68,transferencia
V-23169,2026-05-05,Ferreteria Nuñez,Mouse inalambrico,10,34253.69,tarjeta
V-23170,2026-05-06,Estudio Contable RyR,Servicio de consultoria,11,34390.70,efectivo
V-23171,2026-05-07,Bar La Esquina,Toner HP,12,34527.71,transferencia
V-23172,2026-05-08,Distribuidora Sur,Servicio mensual,13,34664.72,tarjeta
V-23173,2026-05-09,Panaderia Ortiz,Cuaderno,14,34801.73,efectivo
V-23174,2026-05-10,Optica Vision,Mouse inalambrico,15,34938.74,transferencia
V-23175,2026-05-11,Tech Solutions,Servicio de consultoria,16,35075.75,tarjeta
V-23176,2026-05-12,Farmacia Central,Toner HP,17,35212.76,efectivo
V-23177,2026-05-13,Hotel Plaza,Servicio mensual,18,35349.77,transferencia
V-23178,2026-05-14,Comercial Andrade,Cuaderno,19,35486.78,tarjeta
V-23179,2026-05-15,Garcia SA,Mouse inalambrico,20,35623.79,efectivo
V-23180,2026-05-16,Juan Perez,Servicio de consultoria,1,35760.80,transferencia
V-23181,2026-05-17,Marta Gomez,Toner HP,2,35897.81,tarjeta
V-23182,2026-05-18,Kiosco El Sol,Servicio mensual,3,36034.82,efectivo
V-23183,2026-05-19,Ferreteria Nuñez,Cuaderno,4,36171.83,transferencia
V-23184,2026-05-20,Estudio Contable RyR,Mouse inalambrico,5,36308.84,tarjeta
V-23185,2026-05-21,Bar La Esquina,Servicio de consultoria,6,36445.85,efectivo
V-23186,2026-05-22,Distribuidora Sur,Toner HP,7,36582.86,transferencia
V-23187,2026-05-23,Panaderia Ortiz,Servicio mensual,8,36719.87,tarjeta
V-23188,2026-05-24,Optica Vision,Cuaderno,9,36856.88,efectivo
V-23189,2026-05-25,Tech Solutions,Mouse inalambrico,10,36993.89,transferencia
V-23190,2026-05-26,Farmacia Central,Servicio de consultoria,11,37130.90,tarjeta
V-23191,2026-05-27,Hotel Plaza,Toner HP,12,37267.91,efectivo
V-23192,2026-05-28,Comercial Andrade,Servicio mensual,13,37404.92,transferencia
V-23193,2026-05-01,Garcia SA,Cuaderno,14,37541.93,tarjeta
V-23194,2026-05-02,Juan Perez,Mouse inalambrico,15,37678.94,efectivo
V-23195,2026-05-03,Marta Gomez,Servicio de consultoria,16,37815.95,transferencia
V-23196,2026-05-04,Kiosco El Sol,Toner HP,17,37952.96,tarjeta
V-23197,2026-05-05,Ferreteria Nuñez,Servicio mensual,18,38089.97,efectivo
V-23198,2026-05-06,Estudio Contable RyR,Cuaderno,19,38226.98,transferencia
V-23199,2026-05-07,Bar La Esquina,Mouse inalambrico,20,38363.99,tarjeta
V-23200,2026-05-08,Distribuidora Sur,Servicio de consultoria,1,38500.00,efectivo
V-23201,2026-05-09,Panaderia Ortiz,Toner HP,2,38637.01,transferencia
V-23202,2026-05-10,Optica Vision,Servicio mensual,3,38774.02,tarjeta
V-23203,2026-05-11,Tech Solutions,Cuaderno,4,38911.03,efectivo
V-23204,2026-05-12,Farmacia Central,Mouse inalambrico,5,39048.04,transferencia
V-23205,2026-05-13,Hotel Plaza,Servicio de consultoria,6,39185.05,tarjeta
V-23206,2026-05-14,Comercial Andrade,Toner HP,7,39322.06,efectivo
V-23207,2026-05-15,Garcia SA,Servicio mensual,8,39459.07,transferencia
V-23208,2026-05-16,Juan Perez,Cuaderno,9,39596.08,tarjeta
V-23209,2026-05-17,Marta Gomez,Mouse inalambrico,10,39733.09,efectivo
V-23210,2026-05-18,Kiosco El Sol,Servicio de consultoria,11,39870.10,transferencia
V-23211,2026-05-19,Ferreteria Nuñez,Toner HP,12,40007.11,tarjeta
V-23212,2026-05-20,Estudio Contable RyR,Servicio mensual,13,40144.12,efectivo
V-23213,2026-05-21,Bar La Esquina,Cuaderno,14,40281.13,transferencia
V-23214,2026-05-22,Distribuidora Sur,Mouse inalambrico,15,40418.14,tarjeta
V-23215,2026-05-23,Panaderia Ortiz,Servicio de consultoria,16,40555.15,efectivo
V-23216,2026-05-24,Optica Vision,Toner HP,17,40692.16,transferencia
V-23217,2026-05-25,Tech Solutions,Servicio mensual,18,40829.17,tarjeta
V-23218,2026-05-26,Farmacia Central,Cuaderno,19,40966.18,efectivo
V-23219,2026-05-27,Hotel Plaza,Mouse inalambrico,20,41103.19,transferencia
V-23220,2026-05-28,Comercial Andrade,Servicio de consultoria,1,41240.20,tarjeta
V-23221,2026-05-01,Garcia SA,Toner HP,2,41377.21,efectivo
V-23222,2026-05-02,Juan Perez,Servicio mensual,3,41514.22,transferencia
V-23223,2026-05-03,Marta Gomez,Cuaderno,4,41651.23,tarjeta
V-23224,2026-05-04,Kiosco El Sol,Mouse inalambrico,5,41788.24,efectivo
V-23225,2026-05-05,Ferreteria Nuñez,Servicio de consultoria,6,41925.25,transferencia
V-23226,2026-05-06,Estudio Contable RyR,Toner HP,7,42062.26,tarjeta
V-23227,2026-05-07,Bar La Esquina,Servicio mensual,8,42199.27,efectivo
V-23228,2026-05-08,Distribuidora Sur,Cuaderno,9,42336.28,transferencia
V-23229,2026-05-09,Panaderia Ortiz,Mouse inalambrico,10,42473.29,tarjeta
V-23230,2026-05-10,Optica Vision,Servicio de consultoria,11,42610.30,efectivo
V-23231,2026-05-11,Tech Solutions,Toner HP,12,42747.31,transferencia
V-23232,2026-05-12,Farmacia Central,Servicio mensual,13,42884.32,tarjeta
V-23233,2026-05-13,Hotel Plaza,Cuaderno,14,43021.33,efectivo
V-23234,2026-05-14,Comercial Andrade,Mouse inalambrico,15,43158.34,transferencia
V-23235,2026-05-15,Garcia SA,Servicio de consultoria,16,43295.35,tarjeta
V-23236,2026-05-16,Juan Perez,Toner HP,17,43432.36,efectivo
V-23237,2026-05-17,Marta Gomez,Servicio mensual,18,43569.37,transferencia
V-23238,2026-05-18,Kiosco El Sol,Cuaderno,19,43706.38,tarjeta
V-23239,2026-05-19,Ferreteria Nuñez,Mouse inalambrico,20,43843.39,efectivo
V-23240,2026-05-20,Estudio Contable RyR,Servicio de consultoria,1,43980.40,transferencia
V-23241,2026-05-21,Bar La Esquina,Toner HP,2,44117.41,tarjeta
V-23242,2026-05-22,Distribuidora Sur,Servicio mensual,3,44254.42,efectivo
V-23243,2026-05-23,Panaderia Ortiz,Cuaderno,4,44391.43,transferencia
V-23244,2026-05-24,Optica Vision,Mouse inalambrico,5,44528.44,tarjeta
V-23245,2026-05-25,Tech Solutions,Servicio de consultoria,6,44665.45,efectivo
V-23246,2026-05-26,Farmacia Central,Toner HP,7,44802.46,transferencia
V-23247,2026-05-27,Hotel Plaza,Servicio mensual,8,44939.47,tarjeta
V-23248,2026-05-28,Comercial Andrade,Cuaderno,9,45076.48,efectivo
V-23249,2026-05-01,Garcia SA,Mouse inalambrico,10,45213.49,transferencia
V-23250,2026-05-02,Juan Perez,Servicio de consultoria,11,45350.50,tarjeta
V-23251,2026-05-03,Marta Gomez,Toner HP,12,45487.51,efectivo
V-23252,2026-05-04,Kiosco El Sol,Servicio mensual,13,45624.52,transferencia
V-23253,2026-05-05,Ferreteria Nuñez,Cuaderno,14,45761.53,tarjeta
V-23254,2026-05-06,Estudio Contable RyR,Mouse inalambrico,15,45898.54,efectivo
V-23255,2026-05-07,Bar La Esquina,Servicio de consultoria,16,46035.55,transferencia
V-23256,2026-05-08,Distribuidora Sur,Toner HP,17,46172.56,tarjeta
V-23257,2026-05-09,Panaderia Ortiz,Servicio mensual,18,46309.57,efectivo
V-23258,2026-05-10,Optica Vision,Cuaderno,19,46446.58,transferencia
V-23259,2026-05-11,Tech Solutions,Mouse inalambrico,20,46583.59,tarjeta
V-23260,2026-05-12,Farmacia Central,Servicio de consultoria,1,46720.60,efectivo
V-23261,2026-05-13,Hotel Plaza,Toner HP,2,46857.61,transferencia
V-23262,2026-05-14,Comercial Andrade,Servicio mensual,3,46994.62,tarjeta
V-23263,2026-05-15,Garcia SA,Cuaderno,4,47131.63,efectivo
V-23264,2026-05-16,Juan Perez,Mouse inalambrico,5,47268.64,transferencia
V-23265,2026-05-17,Marta Gomez,Servicio de consultoria,6,47405.65,tarjeta
V-23266,2026-05-18,Kiosco El Sol,Toner HP,7,47542.66,efectivo
V-23267,2026-05-19,Ferreteria Nuñez,Servicio mensual,8,47679.67,transferencia
V-23268,2026-05-20,Estudio Contable RyR,Cuaderno,9,47816.68,tarjeta
V-23269,2026-05-21,Bar La Esquina,Mouse inalambrico,10,47953.69,efectivo
V-23270,2026-05-22,Distribuidora Sur,Servicio de consultoria,11,48090.70,transferencia
V-23271,2026-05-23,Panaderia Ortiz,Toner HP,12,48227.71,tarjeta
V-23272,2026-05-24,Optica Vision,Servicio mensual,13,48364.72,efectivo
V-23273,2026-05-25,Tech Solutions,Cuaderno,14,48501.73,transferencia
V-23274,2026-05-26,Farmacia Central,Mouse inalambrico,15,48638.74,tarjeta
V-23275,2026-05-27,Hotel Plaza,Servicio de consultoria,16,48775.75,efectivo
V-23276,2026-05-28,Comercial Andrade,Toner HP,17,48912.76,transferencia
V-23277,2026-05-01,Garcia SA,Servicio mensual,18,49049.77,tarjeta
V-23278,2026-05-02,Juan Perez,Cuaderno,19,49186.78,efectivo
V-23279,2026-05-03,Marta Gomez,Mouse inalambrico,20,49323.79,transferencia
V-23280,2026-05-04,Kiosco El Sol,Servicio de consultoria,1,49460.80,tarjeta
V-23281,2026-05-05,Ferreteria Nuñez,Toner HP,2,49597.81,efectivo
V-23282,2026-05-06,Estudio Contable RyR,Servicio mensual,3,49734.82,transferencia
V-23283,2026-05-07,Bar La Esquina,Cuaderno,4,49871.83,tarjeta
V-23284,2026-05-08,Distribuidora Sur,Mouse inalambrico,5,50008.84,efectivo
V-23285,2026-05-09,Panaderia Ortiz,Servicio de consultoria,6,145.85,transferencia
V-23286,2026-05-10,Optica Vision,Toner HP,7,282.86,tarjeta
V-23287,2026-05-11,Tech Solutions,Servicio mensual,8,419.87,efectivo
V-23288,2026-05-12,Farmacia Central,Cuaderno,9,556.88,transferencia
V-23289,2026-05-13,Hotel Plaza,Mouse inalambrico,10,693.89,tarjeta
V-23290,2026-05-14,Comercial Andrade,Servicio de consultoria,11,830.90,efectivo
V-23291,2026-05-15,Garcia SA,Toner HP,12,967.91,transferencia
V-23292,2026-05-16,Juan Perez,Servicio mensual,13,1104.92,tarjeta
V-23293,2026-05-17,Marta Gomez,Cuaderno,14,1241.93,efectivo
V-23294,2026-05-18,Kiosco El Sol,Mouse inalambrico,15,1378.94,transferencia
V-23295,2026-05-19,Ferreteria Nuñez,Servicio de consultoria,16,1515.95,tarjeta
V-23296,2026-05-20,Estudio Contable RyR,Toner HP,17,1652.96,efectivo
V-23297,2026-05-21,Bar La Esquina,Servicio mensual,18,1789.97,transferencia
V-23298,2026-05-22,Distribuidora Sur,Cuaderno,19,1926.98,tarjeta
V-23299,2026-05-23,Panaderia Ortiz,Mouse inalambrico,20,2063.99,efectivo
V-23300,2026-05-24,Optica Vision,Servicio de consultoria,1,2200.00,transferencia
V-23301,2026-05-25,Tech Solutions,Toner HP,2,2337.01,tarjeta
V-23302,2026-05-26,Farmacia Central,Servicio mensual,3,2474.02,efectivo
V-23303,2026-05-27,Hotel Plaza,Cuaderno,4,2611.03,transferencia
V-23304,2026-05-28,Comercial Andrade,Mouse inalambrico,5,2748.04,tarjeta
V-23305,2026-05-01,Garcia SA,Servicio de consultoria,6,2885.05,efectivo
V-23306,2026-05-02,Juan Perez,Toner HP,7,3022.06,transferencia
V-23307,2026-05-03,Marta Gomez,Servicio mensual,8,3159.07,tarjeta
V-23308,2026-05-04,Kiosco El Sol,Cuaderno,9,3296.08,efectivo
V-23309,2026-05-05,Ferreteria Nuñez,Mouse inalambrico,10,3433.09,transferencia
V-23310,2026-05-06,Estudio Contable RyR,Servicio de consultoria,11,3570.10,tarjeta
V-23311,2026-05-07,Bar La Esquina,Toner HP,12,3707.11,efectivo
V-23312,2026-05-08,Distribuidora Sur,Servicio mensual,13,3844.12,transferencia
V-23313,2026-05-09,Panaderia Ortiz,Cuaderno,14,3981.13,tarjeta
V-23314,2026-05-10,Optica Vision,Mouse inalambrico,15,4118.14,efectivo
V-23315,2026-05-11,Tech Solutions,Servicio de consultoria,16,4255.15,transferencia
V-23316,2026-05-12,Farmacia Central,Toner HP,17,4392.16,tarjeta
V-23317,2026-05-13,Hotel Plaza,Servicio mensual,18,4529.17,efectivo
V-23318,2026-05-14,Comercial Andrade,Cuaderno,19,4666.18,transferencia
V-23319,2026-05-15,Garcia SA,Mouse inalambrico,20,4803.19,tarjeta
V-23320,2026-05-16,Juan Perez,Servicio de consultoria,1,4940.20,efectivo
V-23321,2026-05-17,Marta Gomez,Toner HP,2,5077.21,transferencia
V-23322,2026-05-18,Kiosco El Sol,Servicio mensual,3,5214.22,tarjeta
V-23323,2026-05-19,Ferreteria Nuñez,Cuaderno,4,5351.23,efectivo
V-23324,2026-05-20,Estudio Contable RyR,Mouse inalambrico,5,5488.24,transferencia
V-23325,2026-05-21,Bar La Esquina,Servicio de consultoria,6,5625.25,tarjeta
V-23326,2026-05-22,Distribuidora Sur,Toner HP,7,5762.26,efectivo
V-23327,2026-05-23,Panaderia Ortiz,Servicio mensual,8,5899.27,transferencia
V-23328,2026-05-24,Optica Vision,Cuaderno,9,6036.28,tarjeta
V-23329,2026-05-25,Tech Solutions,Mouse inalambrico,10,6173.29,efectivo
V-23330,2026-05-26,Farmacia Central,Servicio de consultoria,11,6310.30,transferencia
V-23331,2026-05-27,Hotel Plaza,Toner HP,12,6447.31,tarjeta
V-23332,2026-05-28,Comercial Andrade,Servicio mensual,13,6584.32,efectivo
V-23333,2026-05-01,Garcia SA,Cuaderno,14,6721.33,transferencia
V-23334,2026-05-02,Juan Perez,Mouse inalambrico,15,6858.34,tarjeta
V-23335,2026-05-03,Marta Gomez,Servicio de consultoria,16,6995.35,efectivo
V-23336,2026-05-04,Kiosco El Sol,Toner HP,17,7132.36,transferencia
V-23337,2026-05-05,Ferreteria Nuñez,Servicio mensual,18,7269.37,tarjeta
V-23338,2026-05-06,Estudio Contable RyR,Cuaderno,19,7406.38,efectivo
V-23339,2026-05-07,Bar La Esquina,Mouse inalambrico,20,7543.39,transferencia
V-23340,2026-05-08,Distribuidora Sur,Servicio de consultoria,1,7680.40,tarjeta
V-23341,2026-05-09,Panaderia Ortiz,Toner HP,2,7817.41,efectivo
V-23342,2026-05-10,Optica Vision,Servicio mensual,3,7954.42,transferencia
V-23343,2026-05-11,Tech Solutions,Cuaderno,4,8091.43,tarjeta
V-23344,2026-05-12,Farmacia Central,Mouse inalambrico,5,8228.44,efectivo
V-23345,2026-05-13,Hotel Plaza,Servicio de consultoria,6,8365.45,transferencia
V-23346,2026-05-14,Comercial Andrade,Toner HP,7,8502.46,tarjeta
V-23347,2026-05-15,Garcia SA,Servicio mensual,8,8639.47,efectivo
V-23348,2026-05-16,Juan Perez,Cuaderno,9,8776.48,transferencia
V-23349,2026-05-17,Marta Gomez,Mouse inalambrico,10,8913.49,tarjeta
V-23350,2026-05-18,Kiosco El Sol,Servicio de consultoria,11,9050.50,efectivo
V-23351,2026-05-19,Ferreteria Nuñez,Toner HP,12,9187.51,transferencia
V-23352,2026-05-20,Estudio Contable RyR,Servicio mensual,13,9324.52,tarjeta
V-23353,2026-05-21,Bar La Esquina,Cuaderno,14,9461.53,efectivo
V-23354,2026-05-22,Distribuidora Sur,Mouse inalambrico,15,9598.54,transferencia
V-23355,2026-05-23,Panaderia Ortiz,Servicio de consultoria,16,9735.55,tarjeta
V-23356,2026-05-24,Optica Vision,Toner HP,17,9872.56,efectivo
V-23357,2026-05-25,Tech Solutions,Servicio mensual,18,10009.57,transferencia
V-23358,2026-05-26,Farmacia Central,Cuaderno,19,10146.58,tarjeta
V-23359,2026-05-27,Hotel Plaza,Mouse inalambrico,20,10283.59,efectivo
V-23360,2026-05-28,Comercial Andrade,Servicio de consultoria,1,10420.60,transferencia
V-23361,2026-05-01,Garcia SA,Toner HP,2,10557.61,tarjeta
V-23362,2026-05-02,Juan Perez,Servicio mensual,3,10694.62,efectivo
V-23363,2026-05-03,Marta Gomez,Cuaderno,4,10831.63,transferencia
V-23364,2026-05-04,Kiosco El Sol,Mouse inalambrico,5,10968.64,tarjeta
V-23365,2026-05-05,Ferreteria Nuñez,Servicio de consultoria,6,11105.65,efectivo
V-23366,2026-05-06,Estudio Contable RyR,Toner HP,7,11242.66,transferencia
V-23367,2026-05-07,Bar La Esquina,Servicio mensual,8,11379.67,tarjeta
V-23368,2026-05-08,Distribuidora Sur,Cuaderno,9,11516.68,efectivo
V-23369,2026-05-09,Panaderia Ortiz,Mouse inalambrico,10,11653.69,transferencia
V-23370,2026-05-10,Optica Vision,Servicio de consultoria,11,11790.70,tarjeta
V-23371,2026-05-11,Tech Solutions,Toner HP,12,11927.71,efectivo
V-23372,2026-05-12,Farmacia Central,Servicio mensual,13,12064.72,transferencia
V-23373,2026-05-13,Hotel Plaza,Cuaderno,14,12201.73,tarjeta
V-23374,2026-05-14,Comercial Andrade,Mouse inalambrico,15,12338.74,efectivo
V-23375,2026-05-15,Garcia SA,Servicio de consultoria,16,12475.75,transferencia
V-23376,2026-05-16,Juan Perez,Toner HP,17,12612.76,tarjeta
V-23377,2026-05-17,Marta Gomez,Servicio mensual,18,12749.77,efectivo
V-23378,2026-05-18,Kiosco El Sol,Cuaderno,19,12886.78,transferencia
V-23379,2026-05-19,Ferreteria Nuñez,Mouse inalambrico,20,13023.79,tarjeta
V-23380,2026-05-20,Estudio Contable RyR,Servicio de consultoria,1,13160.80,efectivo
V-23381,2026-05-21,Bar La Esquina,Toner HP,2,13297.81,transferencia
V-23382,2026-05-22,Distribuidora Sur,Servicio mensual,3,13434.82,tarjeta
V-23383,2026-05-23,Panaderia Ortiz,Cuaderno,4,13571.83,efectivo
V-23384,2026-05-24,Optica Vision,Mouse inalambrico,5,13708.84,transferencia
V-23385,2026-05-25,Tech Solutions,Servicio de consultoria,6,13845.85,tarjeta
V-23386,2026-05-26,Farmacia Central,Toner HP,7,13982.86,efectivo
V-23387,2026-05-27,Hotel Plaza,Servicio mensual,8,14119.87,transferencia
V-23388,2026-05-28,Comercial Andrade,Cuaderno,9,14256.88,tarjeta
V-23389,2026-05-01,Garcia SA,Mouse inalambrico,10,14393.89,efectivo
V-23390,2026-05-02,Juan Perez,Servicio de consultoria,11,14530.90,transferencia
V-23391,2026-05-03,Marta Gomez,Toner HP,12,14667.91,tarjeta
V-23392,2026-05-04,Kiosco El Sol,Servicio mensual,13,14804.92,efectivo
V-23393,2026-05-05,Ferreteria Nuñez,Cuaderno,14,14941.93,transferencia
V-23394,2026-05-06,Estudio Contable RyR,Mouse inalambrico,15,15078.94,tarjeta
V-23395,2026-05-07,Bar La Esquina,Servicio de consultoria,16,15215.95,efectivo
V-23396,2026-05-08,Distribuidora Sur,Toner HP,17,15352.96,transferencia
V-23397,2026-05-09,Panaderia Ortiz,Servicio mensual,18,15489.97,tarjeta
V-23398,2026-05-10,Optica Vision,Cuaderno,19,15626.98,efectivo
V-23399,2026-05-11,Tech Solutions,Mouse inalambrico,20,15763.99,transferencia
V-23400,2026-05-12,Farmacia Central,Servicio de consultoria,1,15900.00,tarjeta
V-23401,2026-05-13,Hotel Plaza,Toner HP,2,16037.01,efectivo
V-23402,2026-05-14,Comercial Andrade,Servicio mensual,3,16174.02,transferencia
V-23403,2026-05-15,Garcia SA,Cuaderno,4,16311.03,tarjeta
V-23404,2026-05-16,Juan Perez,Mouse inalambrico,5,16448.04,efectivo
V-23405,2026-05-17,Marta Gomez,Servicio de consultoria,6,16585.05,transferencia
V-23406,2026-05-18,Kiosco El Sol,Toner HP,7,16722.06,tarjeta
V-23407,2026-05-19,Ferreteria Nuñez,Servicio mensual,8,16859.07,efectivo
V-23408,2026-05-20,Estudio Contable RyR,Cuaderno,9,16996.08,transferencia
V-23409,2026-05-21,Bar La Esquina,Mouse inalambrico,10,17133.09,tarjeta
V-23410,2026-05-22,Distribuidora Sur,Servicio de consultoria,11,17270.10,efectivo
V-23411,2026-05-23,Panaderia Ortiz,Toner HP,12,17407.11,transferencia
V-23412,2026-05-24,Optica Vision,Servicio mensual,13,17544.12,tarjeta
V-23413,2026-05-25,Tech Solutions,Cuaderno,14,17681.13,efectivo
V-23414,2026-05-26,Farmacia Central,Mouse inalambrico,15,17818.14,transferencia
